Component	Tags	GOV.UK	NHS UK	ONS UK	18F	Bits UI	shadcn	Flowbite	SkeletonUI	IBM Carbon
Accordion		?	❌	?	?	✅	✅	?	?	?
Action Link	#link	?	✅	?	?	❌	❌	?	?	?
Alert	#alert	?	❌	?	?	❌	✅	?	?	?
Alert Dialog	#alert	?	❌	?	?	✅	✅	?	?	?
Aspect Ratio		?	❌	?	?	✅	✅	?	?	?
Avatar		?	❌	?	?	✅	✅	?	?	?
Back Link	#link	?	✅	?	?	❌	❌	?	?	?
Badge		?	❌	?	?	❌	✅	?	?	?
Breadcrumb	#nav	?	✅	?	?	❌	✅	?	?	?
Button	#input	?	✅	?	?	✅	✅	?	?	?
Calendar	#datetime	?	❌	?	?	✅	✅	?	?	?
Card		?	✅	?	?	❌	✅	?	?	?
Care Card		?	✅	?	?	❌	❌	?	?	?
Carousel		?	❌	?	?	❌	✅	?	?	?
Chart		?	❌	?	?	❌	✅	?	?	?
Character	#input	?	✅	?	?	❌	❌	?	?	?
Checkbox	#input	?	✅	?	?	✅	✅	?	?	?
Collapsible		?	❌	?	?	✅	✅	?	?	?
Combobox	#input	?	❌	?	?	❌	✅	?	?	?
Command		?	❌	?	?	✅	✅	?	?	?
Contents List	#nav list	?	✅	?	?	❌	❌	?	?	?
Context Menu		?	❌	?	?	❌	✅	?	?	?
Data Table	#table	?	❌	?	?	❌	✅	?	?	?
Date Input	#time #input	?	✅	?	?	❌	?	?	?	?
Date Field	#time #input	?	❌	?	?	✅	?	?	?	?
Date Picker	#time #input	?	❌	?	?	✅	✅	?	?	?
Date Range Field	#time #input	?	❌	?	?	✅	?	?	?	?
Details	#content	?	✅	?	?	❌	❌	?	?	?
Dialog		?	❌	?	?	✅	✅	?	?	?
Do/Don't List	#content #list	?	✅	?	?	❌	❌	?	?	?
Drawer		?	❌	?	?	❌	✅	?	?	?
Dropdown Menu	#menu	?	❌	?	?	✅	✅	?	?	?
Error message	#form #error	?	✅	?	?	❌	❌	?	?	?
Error summary	#form #error	?	✅	?	?	❌	❌	?	?	?
Expander	#layout	?	✅	?	?	❌	❌	?	?	?
Fieldset	#form	?	✅	?	?	❌	❌	?	?	?
Footer	#section	?	✅	?	?	❌	❌	?	?	?
Form	#form	?	❌	?	?	❌	✅	?	?	?
Header	#section	?	✅	?	?	❌	❌	?	?	?
Hint text	#input	?	✅	?	?	❌	❌	?	?	?
Hover Card	#card	?	❌	?	?	❌	✅	?	?	?
Image	#graphics	?	✅	?	?	❌	❌	?	?	?
Inset text	#layout	?	✅	?	?	❌	❌	?	?	?
Input	#input	?	❌	?	?	❌	✅	?	?	?
Input OTP ≍ PIN Input	#input #pin #otp	?	❌	?	?	≍	✅	?	?	?
Label	#input	?	❌	?	?	✅	✅	?	?	?
Menubar	#menu	?	❌	?	?	✅	✅	?	?	?
Meter	#input	?	❌	?	?	✅	❌	?	?	?			
Navigation Menu	#nav #menu	?	❌	?	?	✅	✅	?	?	?
Pagination	#nav	?	✅	?	?	✅	✅	?	?	?
PIN Input ≍ Input OTP	#input #pin #otp	?	❌	?	?	✅	≍	?	?	?
Panel	#layout	?	✅	?	?	❌	❌	?	?	?
Popover	#help	?	❌	?	?	✅	✅	?	?	?
Progress	#ux	?	❌	?	?	✅	✅	?	?	?
Radio Button	#input	?	✅	?	?	❌	❌	?	?	?
Radio Group	#input	?	❌	?	?	✅	✅	?	?	?
Range Calendar	#input #date	?	❌	?	?	✅	❌	?	?	?
Rating Group	#input	?	❌	?	?	✅	❌	?	?	?
Resizable	#responsive	?	❌	?	?	❌	✅	?	?	?
Review date	#time	?	✅	?	?	❌	❌	?	?	?
Scroll Area	#responsive	?	❌	?	?	✅	✅	?	?	?
Select	#input	?	✅	?	?	✅	✅	?	?	?
Separator	#layout	?	❌	?	?	✅	✅	?	?	?
Sheet		?	❌	?	?	❌	✅	?	?	?
Sidebar		?	❌	?	?	❌	✅	?	?	?
Skeleton		?	❌	?	?	❌	✅	?	?	?
Skip link	#nav #link	?	✅	?	?	❌	❌	?	?	?
Slider	#input	?	❌	?	?	✅	✅	?	?	?
Sonner	?	?	❌	?	?	❌	✅	?	?	?
Summary list	#list	?	✅	?	?	❌	❌	?	?	?
Switch	#input	?	❌	?	?	✅	✅	?	?	?
Table	#table	?	✅	?	?	❌	✅	?	?	?
Tabs	#nav	?	✅	?	?	✅	✅	?	?	?
Tag	#display	?	✅	?	?	❌	❌	?	?	?
Task list	#list	?	✅	?	?	❌	❌	?	?	?
Textfield input	#input	?	✅	?	?	❌	❌	?	?	?
Textarea input	#input	?	✅	?	?	❌	✅	?	?	?
Toast	#help	?	❌	?	?	❌	✅	?	?	?
Toggle	#input	?	❌	?	?	✅	✅	?	?	?
Toggle Group	#input	?	❌	?	?	✅	✅	?	?	?
Tooltip	#help	?	❌	?	?	✅	✅	?	?	?
Warning callout	#content	?	✅	?	?	❌	❌	?	?	?
